mem_i,rw_i,burst_i,oe_o,we_o,we_me_o,mem_ctrl_test_results
0,0,0,0,0,0,OK
1,0,0,0,0,1,OK
0,0,0,0,1,0,OK
0,0,0,0,0,0,OK
1,1,0,0,0,0,OK
0,0,0,1,0,0,OK
0,0,0,0,0,0,OK
1,1,1,0,0,0,OK
0,0,0,1,0,0,OK
0,0,0,1,0,0,OK
0,0,0,1,0,0,OK
0,0,0,1,0,0,OK
0,0,0,0,0,0,OK
